Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Hendersonville, TN","City",2020,1,918,1022,1256,1673,1967,0,3.9
"Hermosa Beach, CA","City",2020,1,1689,2011,2583,3511,3871,.1,.2
"High Point, NC","City",2020,1,672,734,875,1184,1388,-.1,2.5
"Highland, CA","City",2020,1,681,815,1019,1432,1764,0,.2
"Highland, IN","City",2020,1,1047,1216,1430,1829,2176,0,1.8
"Hinesville, GA","City",2020,1,655,712,822,1154,1440,0,.4
"Holland, MI","City",2020,1,613,750,911,1291,1425,-.2,2.8
"Hollywood, FL","City",2020,1,917,1134,1438,1979,2384,.1,1.4
"Hopewell, VA","City",2020,1,748,784,905,1200,1461,-.4,-.2
"Hopkins, MN","City",2020,1,929,1145,1444,2045,2391,-.1,1.5
"Horn Lake, MS","City",2020,1,757,846,1000,1359,1593,0,.2
"Houston, TX","City",2020,1,745,845,1034,1409,1791,.1,1
"Humble, TX","City",2020,1,921,1044,1277,1741,2213,.3,.3
"Huntsville, AL","City",2020,1,592,679,816,1110,1439,.3,4.6
"Hurst, TX","City",2020,1,808,963,1197,1622,2066,.2,.1
"Hyattsville, MD","City",2020,1,1261,1325,1530,2018,2503,.1,1.8
"Idaho Falls, ID","City",2020,1,561,644,855,1178,1411,0,1.3
"Imperial, PA","City",2020,1,744,862,1078,1350,1486,0,
"Independence, MO","City",2020,1,583,737,904,1236,1398,-.1,1.3
"Indianapolis, IN","City",2020,1,610,708,876,1174,1339,.2,2.2
"Inkster, MI","City",2020,1,546,660,859,1141,1238,.2,1.8
"Iowa City, IA","City",2020,1,718,852,1120,1607,1960,.3,.3
"Irving, TX","City",2020,1,837,998,1239,1680,2141,0,1.8
"Jackson, MI","City",2020,1,500,614,782,1029,1084,-.1,2.4
"Jackson, MS","City",2020,1,588,696,841,1064,1229,.2,-.5
"Jacksonville, AR","City",2020,1,502,582,704,949,1129,.1,-.2
"Jacksonville, FL","City",2020,1,697,895,1096,1450,1838,.1,1.6
"Jacksonville, NC","City",2020,1,614,619,753,1096,1327,1.5,5.6
"Jefferson City, MO","City",2020,1,482,515,675,971,1063,.1,1.9
"Jersey City, NJ","City",2020,1,1447,1607,1914,2468,2749,0,.8
"Joliet, IL","City",2020,1,821,953,1121,1434,1706,.1,.4
"Jonesboro, AR","City",2020,1,478,592,724,993,1011,-.2,.5
"Jonesboro, GA","City",2020,1,1018,1068,1234,1620,1991,0,3.4
"Junction City, KS","City",2020,1,574,578,767,1109,1348,-.2,-.2
"Jupiter, FL","City",2020,1,1089,1257,1583,2190,2659,.1,-.8
"Kalamazoo, MI","City",2020,1,584,717,891,1213,1390,0,.9
"Kansas City, MO","City",2020,1,590,747,916,1252,1417,.1,1.2
"Keller, TX","City",2020,1,1163,1386,1722,2334,2973,-.5,1.1
"Kennewick, WA","City",2020,1,644,784,969,1323,1708,0,-.8
"Kent, OH","City",2020,1,562,648,861,1107,1187,0,.6
"Kent, WA","City",2020,1,1309,1498,1866,2708,3221,.1,2.4
"Killeen, TX","City",2020,1,571,575,762,1080,1342,0,1.6
"Kissimmee, FL","City",2020,1,964,1050,1262,1678,2023,-.1,2.5
"La Mesa, CA","City",2020,1,1300,1440,1868,2690,3292,-.4,1.4
"La Mirada, CA","City",2020,1,1597,1901,2442,3319,3660,.4,.7
"La Vista, NE","City",2020,1,656,826,1032,1389,1523,.6,2.9
"LaGrange, GA","City",2020,1,642,674,778,1022,1256,0,1.1
"Ladera Ranch, CA","City",2020,1,2629,3129,4020,5464,6024,.5,4
"Lafayette, IN","City",2020,1,602,664,810,1109,1379,.1,1
"Lake Mary, FL","City",2020,1,1226,1340,1605,2135,2569,.6,-.5
"Lakeland, FL","City",2020,1,809,824,1074,1423,1794,-.1,2.8
"Lakewood, NJ","City",2020,1,1343,1492,1777,2291,2552,-.1,.4
"Lakewood, WA","City",2020,1,1056,1208,1505,2184,2598,.2,3.8
"Lancaster, CA","City",2020,1,1081,1273,1637,2236,2485,.3,2.3
"Lancaster, OH","City",2020,1,657,777,1001,1288,1499,.1,-.2
"Lancaster, PA","City",2020,1,678,809,1019,1305,1404,0,.3
"Lansing, MI","City",2020,1,567,703,869,1164,1358,-.1,1
"Lapeer, MI","City",2020,1,567,685,892,1184,1284,.1,.3
"Laredo, TX","City",2020,1,617,660,841,1113,1274,-.6,-.7
"Las Cruces, NM","City",2020,1,511,596,723,1040,1275,.1,1.7
"Las Vegas, NV","City",2020,1,787,963,1193,1737,2092,0,3.2
"Laurel, MD","City",2020,1,1240,1359,1612,2108,2568,.2,.3
"Lawrence, KS","City",2020,1,603,716,937,1348,1620,.1,1
"Lawrenceville, GA","City",2020,1,1141,1197,1382,1815,2230,-.2,2.2
"Lawton, OK","City",2020,1,494,500,661,927,1044,-.5,.3
"Layton, UT","City",2020,1,688,826,1059,1511,1773,0,1.7
"League City, TX","City",2020,1,1070,1213,1485,2024,2572,-.2,-.6
"Lehigh Acres, FL","City",2020,1,732,790,982,1274,1421,.2,1.2
"Lewisville, TX","City",2020,1,865,1031,1282,1738,2213,-.3,3.1
"Lexington, KY","City",2020,1,585,671,860,1230,1516,.1,1.2
"Lincoln Park, MI","City",2020,1,561,677,882,1171,1270,-.1,-.6
"Lincoln, NE","City",2020,1,563,656,864,1231,1487,.1,1.4
"Little Rock, AR","City",2020,1,628,728,880,1187,1412,.2,1.5
"Littleton, CO","City",2020,1,1226,1498,1896,2755,3191,-.2,1.5
"Livonia, MI","City",2020,1,771,932,1213,1611,1748,.2,.8
"Logan, UT","City",2020,1,451,569,698,1016,1142,-.1,.8
"Loma Linda, CA","City",2020,1,881,1054,1318,1852,2281,0,1.6
"Lone Tree, CO","City",2020,1,1292,1578,1997,2902,3361,-.4,1
"Long Beach, CA","City",2020,1,1164,1386,1781,2420,2668,.1,.9
"Long Branch, NJ","City",2020,1,1526,1695,2019,2603,2899,.4,3.9
"Longmont, CO","City",2020,1,937,1061,1295,1853,2190,.1,1.3
"Longview, TX","City",2020,1,707,770,937,1208,1461,-.1,-.2
"Lorain, OH","City",2020,1,506,605,754,991,1050,.1,2.9
"Los Angeles, CA","City",2020,1,1151,1370,1760,2392,2637,0,.5
"Louisville, KY","City",2020,1,584,665,840,1151,1307,.2,.5
"Lovejoy, GA","City",2020,1,728,763,882,1157,1422,0,-.3
"Loveland, CO","City",2020,1,818,933,1152,1677,2030,.2,2.1
"Lowell, MA","City",2020,1,1089,1242,1540,1935,2133,0,1
"Lubbock, TX","City",2020,1,564,658,817,1187,1433,.1,-.5
"Mableton, GA","City",2020,1,882,925,1069,1403,1724,.3,1.2
"Madison Heights, MI","City",2020,1,705,852,1108,1472,1597,0,2.4
"Madison, AL","City",2020,1,688,789,949,1291,1673,.2,6.9
"Madison, WI","City",2020,1,706,842,1016,1412,1608,.1,1.1
"Manchester, NH","City",2020,1,919,1080,1371,1785,1976,-.1,1.6
"Manhattan, KS","City",2020,1,522,559,740,1044,1267,.5,-1
"Marana, AZ","City",2020,1,975,1171,1505,2190,2565,.5,3.9
"Marietta, PA","City",2020,1,568,677,852,1092,1175,0,0
"Marine City, MI","City",2020,1,536,648,843,1119,1214,0,0
"Marshall, MI","City",2020,1,543,679,851,1111,1203,0,.2
"Maryland Heights, MO","City",2020,1,747,847,1100,1457,1700,-.3,3.8
"Marysville, WA","City",2020,1,1158,1325,1650,2395,2849,-.1,.6
"Matthews, NC","City",2020,1,1105,1224,1427,1924,2416,.2,4.3
"McKinney, TX","City",2020,1,970,1157,1437,1948,2482,.1,2.7
"Medford, OR","City",2020,1,718,756,1005,1464,1678,.1,.9
"Melbourne, FL","City",2020,1,786,976,1238,1711,2107,.1,.3
"Melvindale, MI","City",2020,1,590,713,928,1233,1337,1,4.3
"Memphis, TN","City",2020,1,633,707,836,1136,1331,.1,1
"Menifee, CA","City",2020,1,1115,1334,1669,2345,2888,-.1,-.5
"Mentor, OH","City",2020,1,717,857,1068,1404,1487,.5,3
"Mesa, AZ","City",2020,1,753,915,1140,1659,1925,.3,5.1
"Metairie, LA","City",2020,1,684,798,966,1239,1454,.1,1.3
"Miami Gardens, FL","City",2020,1,919,1137,1441,1984,2390,-.3,-.9
"Miami, FL","City",2020,1,884,1094,1387,1909,2299,.2,1.1
"Miamisburg, OH","City",2020,1,642,731,958,1314,1542,-.5,5
"Middle River, MD","City",2020,1,865,1051,1319,1695,1986,0,-.4
"Middletown, OH","City",2020,1,589,682,896,1246,1457,0,.6
"Midland, MI","City",2020,1,484,578,749,1029,1175,0,.2
"Midvale, UT","City",2020,1,802,993,1232,1775,2039,0,6.4
"Milwaukee, WI","City",2020,1,598,727,901,1136,1275,0,1
"Minneapolis, MN","City",2020,1,740,912,1150,1629,1904,0,1.2
"Minnetonka, MN","City",2020,1,981,1209,1526,2160,2526,-.4,3.3
"Missoula, MT","City",2020,1,688,743,920,1339,1621,.1,.9
"Missouri City, TX","City",2020,1,1039,1178,1441,1965,2498,-.6,2.2
"Mobile, AL","City",2020,1,791,796,970,1265,1464,.7,3.3
"Monroe, LA","City",2020,1,635,639,825,1047,1138,-.2,.1
